baseline,e-persona-you,e-persona-human,e-implcit-target,e-implcit-target-e-persona-you,e-implcit-target-e-persona-human,TextFoolerJin2019
"{'distance': 0.964203233256351, 'evidence_accuracy': 0.2219482120838471, 'evidence_precision': 0.20804525455688247, 'evidence_recall': 0.993993993993994, 'evidence_f1': 0.3440748440748441, 'similarity_metrics': np.float32(0.88458455), 'contradiction': 0.04694635421037674}","{'distance': 0.993920972644377, 'evidence_accuracy': 0.20838471023427868, 'evidence_precision': 0.20593692022263452, 'evidence_recall': 1.0, 'evidence_f1': 0.34153846153846157, 'similarity_metrics': np.float32(0.73081553), 'contradiction': 0.8086126446723938}","{'distance': 0.9854897218863361, 'evidence_accuracy': 0.20900123304562268, 'evidence_precision': 0.20496894409937888, 'evidence_recall': 0.990990990990991, 'evidence_f1': 0.3396809058157489, 'similarity_metrics': np.float32(0.7170603), 'contradiction': 0.29602915048599243}",,"{'distance': 0.9755529685681025, 'evidence_accuracy': 0.2127003699136868, 'evidence_precision': 0.20536828963795256, 'evidence_recall': 0.987987987987988, 'evidence_f1': 0.3400516795865633, 'similarity_metrics': np.float32(0.83577645), 'contradiction': 0.21698325872421265}",,
,,"{'distance': 0.8738738738738738, 'evidence_accuracy': 0.33391003460207613, 'evidence_precision': 0.292910447761194, 'evidence_recall': 0.9631901840490797, 'evidence_f1': 0.4492131616595135, 'similarity_metrics': np.float32(0.9002869), 'contradiction': 0.1851700246334076}",,,,"{'distance': 0.08823529411764708, 'evidence_accuracy': 0.7024221453287197, 'evidence_precision': 0.4117647058823529, 'evidence_recall': 0.12883435582822086, 'evidence_f1': 0.19626168224299065, 'similarity_metrics': np.float32(0.9577786), 'contradiction': 0.2554458975791931}"
"{'distance': 0.9004149377593361, 'evidence_accuracy': 0.7, 'evidence_precision': 0.7272727272727273, 'evidence_recall': 0.94, 'evidence_f1': 0.8200654307524536, 'similarity_metrics': np.float32(0.83567655), 'contradiction': 0.015757018700242043}",,,"{'distance': 0.32671300893743793, 'evidence_accuracy': 0.3836363636363636, 'evidence_precision': 0.6445497630331753, 'evidence_recall': 0.34, 'evidence_f1': 0.4451718494271686, 'similarity_metrics': np.float32(0.9935456), 'contradiction': 0.881737470626831}",,"{'distance': 0.304950495049505, 'evidence_accuracy': 0.37636363636363634, 'evidence_precision': 0.6417910447761194, 'evidence_recall': 0.3225, 'evidence_f1': 0.4292845257903494, 'similarity_metrics': np.float32(0.9946409), 'contradiction': 0.8817043900489807}",
,,,"{'distance': 0.910802775024777, 'evidence_accuracy': 0.34585492227979275, 'evidence_precision': 0.33653846153846156, 'evidence_recall': 0.9176029962546817, 'evidence_f1': 0.492462311557789, 'similarity_metrics': np.float32(0.88347954), 'contradiction': 0.9655354619026184}",,,
,,,,,,
,,,,"{'distance': 0.3561253561253561, 'evidence_accuracy': 0.4711168164313222, 'evidence_precision': 0.2926829268292683, 'evidence_recall': 0.34782608695652173, 'evidence_f1': 0.3178807947019867, 'similarity_metrics': np.float32(0.9794526), 'contradiction': 0.9906270503997803}",,
,,,,,,
,,,,,"{'distance': 0.9136212624584718, 'evidence_accuracy': 0.7169042769857433, 'evidence_precision': 0.7182795698924731, 'evidence_recall': 0.9766081871345029, 'evidence_f1': 0.8277571251548946, 'similarity_metrics': np.float32(0.82900655), 'contradiction': 0.9812389612197876}",
"{'distance': 0.9600570613409415, 'evidence_accuracy': 0.5157545605306799, 'evidence_precision': 0.5178268251273345, 'evidence_recall': 0.9744408945686901, 'evidence_f1': 0.6762749445676275, 'similarity_metrics': np.float32(0.8510129), 'contradiction': 0.10170084238052368}","{'distance': 0.9667673716012084, 'evidence_accuracy': 0.5140961857379768, 'evidence_precision': 0.5168918918918919, 'evidence_recall': 0.9776357827476039, 'evidence_f1': 0.676243093922652, 'similarity_metrics': np.float32(0.75115144), 'contradiction': 0.5282960534095764}",,,,,
,,,,,,
,,,,,,"{'distance': 0.005095541401273884, 'evidence_accuracy': 0.6942675159235668, 'evidence_precision': 0.5, 'evidence_recall': 0.008333333333333333, 'evidence_f1': 0.01639344262295082, 'similarity_metrics': np.float32(0.99626184), 'contradiction': 0.10641364008188248}"
"{'distance': 0.8271604938271605, 'evidence_accuracy': 0.4093567251461988, 'evidence_precision': 0.4211382113821138, 'evidence_recall': 0.8436482084690554, 'evidence_f1': 0.5618221258134489, 'similarity_metrics': np.float32(0.86155534), 'contradiction': 0.04436277225613594}",,,,,,"{'distance': 0.0014619883040936088, 'evidence_accuracy': 0.5526315789473685, 'evidence_precision': 1.0, 'evidence_recall': 0.003257328990228013, 'evidence_f1': 0.006493506493506494, 'similarity_metrics': np.float32(1.0), 'contradiction': 0.10111527144908905}"
,,,,,,
,,,,,,
,,,,"{'distance': 0.843426883308715, 'evidence_accuracy': 0.4451219512195122, 'evidence_precision': 0.428246013667426, 'evidence_recall': 0.8952380952380953, 'evidence_f1': 0.5793528505392913, 'similarity_metrics': np.float32(0.86229205), 'contradiction': 0.985413670539856}","{'distance': 0.8350824587706147, 'evidence_accuracy': 0.3719512195121951, 'evidence_precision': 0.38926174496644295, 'evidence_recall': 0.8285714285714286, 'evidence_f1': 0.5296803652968036, 'similarity_metrics': np.float32(0.87452126), 'contradiction': 0.5025948286056519}",
,"{'distance': 0.8990384615384616, 'evidence_accuracy': 0.32628398791540786, 'evidence_precision': 0.34421364985163205, 'evidence_recall': 0.9830508474576272, 'evidence_f1': 0.50989010989011, 'similarity_metrics': np.float32(0.83984566), 'contradiction': 0.7327759265899658}",,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.12662337662337664, 'evidence_accuracy': 0.512987012987013, 'evidence_precision': 0.5384615384615384, 'evidence_recall': 0.13725490196078433, 'evidence_f1': 0.21875, 'similarity_metrics': np.float32(0.9478499), 'contradiction': 0.3092391788959503}"
,,,,,"{'distance': 0.41445783132530123, 'evidence_accuracy': 0.43283582089552236, 'evidence_precision': 0.4613686534216336, 'evidence_recall': 0.42052313883299797, 'evidence_f1': 0.44, 'similarity_metrics': np.float32(0.8756153), 'contradiction': 0.9936830997467041}",
,,,,,,
,,,,"{'distance': 0.9843014128728415, 'evidence_accuracy': 0.2909238249594814, 'evidence_precision': 0.29013854930725347, 'evidence_recall': 0.9888888888888889, 'evidence_f1': 0.44864524259609323, 'similarity_metrics': np.float32(0.58293676), 'contradiction': 0.9919568300247192}",,
,,,,,"{'distance': 0.8308943089430895, 'evidence_accuracy': 0.35181236673773986, 'evidence_precision': 0.3054892601431981, 'evidence_recall': 0.9078014184397163, 'evidence_f1': 0.45714285714285713, 'similarity_metrics': np.float32(0.90366685), 'contradiction': 0.5810175538063049}",
,,,,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.5158371040723982, 'evidence_precision': 0.36727272727272725, 'evidence_recall': 0.40725806451612906, 'evidence_f1': 0.3862332695984703, 'similarity_metrics': np.float32(0.9657766), 'contradiction': 0.9883008003234863}","{'distance': 0.25311203319502074, 'evidence_accuracy': 0.6033182503770739, 'evidence_precision': 0.4647887323943662, 'evidence_recall': 0.39919354838709675, 'evidence_f1': 0.42950108459869846, 'similarity_metrics': np.float32(0.97904843), 'contradiction': 0.9616568684577942}",
,,,,,,
,,,"{'distance': 0.35300429184549353, 'evidence_accuracy': 0.44731610337972166, 'evidence_precision': 0.40294840294840295, 'evidence_recall': 0.3438155136268344, 'evidence_f1': 0.37104072398190047, 'similarity_metrics': np.float32(0.9482907), 'contradiction': 0.8804517388343811}","{'distance': 0.35862068965517246, 'evidence_accuracy': 0.4463220675944334, 'evidence_precision': 0.41150442477876104, 'evidence_recall': 0.389937106918239, 'evidence_f1': 0.40043057050592035, 'similarity_metrics': np.float32(0.9555805), 'contradiction': 0.8506407141685486}","{'distance': 0.2722513089005235, 'evidence_accuracy': 0.43737574552683894, 'evidence_precision': 0.35782747603833864, 'evidence_recall': 0.2348008385744235, 'evidence_f1': 0.28354430379746837, 'similarity_metrics': np.float32(0.94640964), 'contradiction': 0.8628692030906677}","{'distance': 0.005964214711729587, 'evidence_accuracy': 0.5278330019880716, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.008385744234800839, 'evidence_f1': 0.016563146997929604, 'similarity_metrics': np.float32(0.9967161), 'contradiction': 0.007682051509618759}"
"{'distance': 0.41608391608391604, 'evidence_accuracy': 0.6038961038961039, 'evidence_precision': 0.41134751773049644, 'evidence_recall': 0.5979381443298969, 'evidence_f1': 0.4873949579831932, 'similarity_metrics': np.float32(0.9361743), 'contradiction': 0.9523617625236511}","{'distance': 1.0, 'evidence_accuracy': 0.31493506493506496, 'evidence_precision': 0.31493506493506496, 'evidence_recall': 1.0, 'evidence_f1': 0.47901234567901235, 'similarity_metrics': np.float32(0.07522907), 'contradiction': 0.46331116557121277}",,"{'distance': 0.25850340136054417, 'evidence_accuracy': 0.577922077922078, 'evidence_precision': 0.32989690721649484, 'evidence_recall': 0.32989690721649484, 'evidence_f1': 0.32989690721649484, 'similarity_metrics': np.float32(0.9420412), 'contradiction': 0.9789699912071228}","{'distance': 0.33840304182509506, 'evidence_accuracy': 0.5746753246753247, 'evidence_precision': 0.373134328358209, 'evidence_recall': 0.5154639175257731, 'evidence_f1': 0.43290043290043295, 'similarity_metrics': np.float32(0.95455396), 'contradiction': 0.9016584157943726}","{'distance': 0.3955094991364422, 'evidence_accuracy': 0.5551948051948052, 'evidence_precision': 0.35074626865671643, 'evidence_recall': 0.4845360824742268, 'evidence_f1': 0.4069264069264069, 'similarity_metrics': np.float32(0.88319707), 'contradiction': 0.9770746827125549}","{'distance': 0.012987012987012991, 'evidence_accuracy': 0.672077922077922, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9568387), 'contradiction': 0.014760375954210758}"
"{'distance': 0.9417604235605559, 'evidence_accuracy': 0.1543026706231454, 'evidence_precision': 0.13420245398773006, 'evidence_recall': 0.9408602150537635, 'evidence_f1': 0.2348993288590604, 'similarity_metrics': np.float32(0.86072636), 'contradiction': 0.016159722581505775}",,"{'distance': 0.4660377358490566, 'evidence_accuracy': 0.4228486646884273, 'evidence_precision': 0.12148337595907928, 'evidence_recall': 0.510752688172043, 'evidence_f1': 0.19628099173553717, 'similarity_metrics': np.float32(0.9985169), 'contradiction': 0.009915445931255817}","{'distance': 0.46121297602256695, 'evidence_accuracy': 0.4280415430267062, 'evidence_precision': 0.12258064516129032, 'evidence_recall': 0.510752688172043, 'evidence_f1': 0.19771071800208115, 'similarity_metrics': np.float32(0.9978855), 'contradiction': 0.41753774881362915}","{'distance': 0.4665409990574929, 'evidence_accuracy': 0.4228486646884273, 'evidence_precision': 0.12148337595907928, 'evidence_recall': 0.510752688172043, 'evidence_f1': 0.19628099173553717, 'similarity_metrics': np.float32(0.9980373), 'contradiction': 0.24474897980690002}","{'distance': 0.46773433820065946, 'evidence_accuracy': 0.4280415430267062, 'evidence_precision': 0.12643678160919541, 'evidence_recall': 0.532258064516129, 'evidence_f1': 0.20433436532507745, 'similarity_metrics': np.float32(0.9721792), 'contradiction': 0.7135307788848877}","{'distance': 0.0007418397626113293, 'evidence_accuracy': 0.8612759643916914, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(1.0000002), 'contradiction': 0.002438558032736182}"
"{'distance': 0.9170212765957447, 'evidence_accuracy': 0.2914634146341463, 'evidence_precision': 0.2791293213828425, 'evidence_recall': 0.923728813559322, 'evidence_f1': 0.4287118977384464, 'similarity_metrics': np.float32(0.8297733), 'contradiction': 0.9981531500816345}","{'distance': 0.9857988165680474, 'evidence_accuracy': 0.2804878048780488, 'evidence_precision': 0.28361858190709044, 'evidence_recall': 0.9830508474576272, 'evidence_f1': 0.4402277039848197, 'similarity_metrics': np.float32(0.7859283), 'contradiction': 0.9990060925483704}","{'distance': 0.9322033898305084, 'evidence_accuracy': 0.28780487804878047, 'evidence_precision': 0.27974683544303797, 'evidence_recall': 0.9364406779661016, 'evidence_f1': 0.4307992202729045, 'similarity_metrics': np.float32(0.83594745), 'contradiction': 0.9986814856529236}","{'distance': 0.35309617918313574, 'evidence_accuracy': 0.5451219512195122, 'evidence_precision': 0.2917933130699088, 'evidence_recall': 0.4067796610169492, 'evidence_f1': 0.3398230088495575, 'similarity_metrics': np.float32(0.99577135), 'contradiction': 0.9979257583618164}","{'distance': 0.3966777408637874, 'evidence_accuracy': 0.5390243902439025, 'evidence_precision': 0.30601092896174864, 'evidence_recall': 0.4745762711864407, 'evidence_f1': 0.372093023255814, 'similarity_metrics': np.float32(0.9951141), 'contradiction': 0.9967789053916931}","{'distance': 0.36828135368281356, 'evidence_accuracy': 0.5463414634146342, 'evidence_precision': 0.3023255813953488, 'evidence_recall': 0.4406779661016949, 'evidence_f1': 0.3586206896551724, 'similarity_metrics': np.float32(0.9869675), 'contradiction': 0.9966492056846619}","{'distance': 0.01097560975609757, 'evidence_accuracy': 0.7109756097560975, 'evidence_precision': 0.4444444444444444, 'evidence_recall': 0.01694915254237288, 'evidence_f1': 0.0326530612244898, 'similarity_metrics': np.float32(0.73739684), 'contradiction': 0.02755320444703102}"
"{'distance': 0.49751243781094523, 'evidence_accuracy': 0.3884462151394422, 'evidence_precision': 0.046511627906976744, 'evidence_recall': 0.4117647058823529, 'evidence_f1': 0.08358208955223881, 'similarity_metrics': np.float32(0.8310639), 'contradiction': 0.8678029179573059}",,,"{'distance': 0.043390514631685195, 'evidence_accuracy': 0.8764940239043825, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.97013044), 'contradiction': 0.07734812796115875}","{'distance': 0.004985044865403743, 'evidence_accuracy': 0.9302788844621513, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.029411764705882353, 'evidence_f1': 0.05405405405405406, 'similarity_metrics': np.float32(0.9975698), 'contradiction': 0.4608089327812195}","{'distance': 0.029940119760479056, 'evidence_accuracy': 0.9123505976095617, 'evidence_precision': 0.1875, 'evidence_recall': 0.08823529411764706, 'evidence_f1': 0.12, 'similarity_metrics': np.float32(0.98798335), 'contradiction': 0.9581084251403809}","{'distance': 0.0019920318725099584, 'evidence_accuracy': 0.9342629482071713, 'evidence_precision': 1.0, 'evidence_recall': 0.029411764705882353, 'evidence_f1': 0.05714285714285715, 'similarity_metrics': np.float32(0.9899464), 'contradiction': 0.01970018818974495}"
,,,"{'distance': 0.29854096520763185, 'evidence_accuracy': 0.5800604229607251, 'evidence_precision': 0.27100271002710025, 'evidence_recall': 0.4032258064516129, 'evidence_f1': 0.32414910858995133, 'similarity_metrics': np.float32(0.9910239), 'contradiction': 0.9487637877464294}",,,"{'distance': 0.007049345417925457, 'evidence_accuracy': 0.7472306143001007, 'evidence_precision': 0.2857142857142857, 'evidence_recall': 0.008064516129032258, 'evidence_f1': 0.01568627450980392, 'similarity_metrics': np.float32(0.99372685), 'contradiction': 0.04362014681100845}"
"{'distance': 0.8930693069306931, 'evidence_accuracy': 0.49122807017543857, 'evidence_precision': 0.48525469168900803, 'evidence_recall': 0.9427083333333334, 'evidence_f1': 0.6407079646017699, 'similarity_metrics': np.float32(0.90810025), 'contradiction': 0.004986932035535574}","{'distance': 0.9156118143459916, 'evidence_accuracy': 0.46867167919799496, 'evidence_precision': 0.47368421052631576, 'evidence_recall': 0.9375, 'evidence_f1': 0.6293706293706294, 'similarity_metrics': np.float32(0.89547366), 'contradiction': 0.01178477331995964}","{'distance': 0.9057815845824411, 'evidence_accuracy': 0.44611528822055135, 'evidence_precision': 0.46153846153846156, 'evidence_recall': 0.90625, 'evidence_f1': 0.6115992970123022, 'similarity_metrics': np.float32(0.8333446), 'contradiction': 0.01986652985215187}",,,,"{'distance': 0.01754385964912286, 'evidence_accuracy': 0.5162907268170426, 'evidence_precision': 0.42857142857142855, 'evidence_recall': 0.015625, 'evidence_f1': 0.03015075376884422, 'similarity_metrics': np.float32(0.9566693), 'contradiction': 0.07612063735723495}"
"{'distance': 0.8265895953757225, 'evidence_accuracy': 0.29040097205346294, 'evidence_precision': 0.2388663967611336, 'evidence_recall': 0.8984771573604061, 'evidence_f1': 0.37739872068230274, 'similarity_metrics': np.float32(0.9150282), 'contradiction': 0.004450235050171614}",,"{'distance': 0.5879218472468917, 'evidence_accuracy': 0.30133657351154314, 'evidence_precision': 0.18074324324324326, 'evidence_recall': 0.5431472081218274, 'evidence_f1': 0.27122940430925224, 'similarity_metrics': np.float32(0.9109198), 'contradiction': 0.03913791850209236}",,,,"{'distance': 0.0060753341433779084, 'evidence_accuracy': 0.7545565006075334, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9972985), 'contradiction': 0.008128535933792591}"
"{'distance': 0.9732009925558313, 'evidence_accuracy': 0.24141519250780438, 'evidence_precision': 0.23271767810026386, 'evidence_recall': 0.9910112359550561, 'evidence_f1': 0.3769230769230769, 'similarity_metrics': np.float32(0.8188759), 'contradiction': 0.20906053483486176}","{'distance': 0.8598848368522073, 'evidence_accuracy': 0.30697190426638915, 'evidence_precision': 0.2504220596510974, 'evidence_recall': 1.0, 'evidence_f1': 0.4005400540054006, 'similarity_metrics': np.float32(0.94827366), 'contradiction': 0.9895691275596619}","{'distance': 0.8663461538461539, 'evidence_accuracy': 0.30385015608740895, 'evidence_precision': 0.2495793606281548, 'evidence_recall': 1.0, 'evidence_f1': 0.3994614003590664, 'similarity_metrics': np.float32(0.9514766), 'contradiction': 0.0024290094152092934}","{'distance': 0.8781774580335732, 'evidence_accuracy': 0.2918834547346514, 'evidence_precision': 0.24498886414253898, 'evidence_recall': 0.9887640449438202, 'evidence_f1': 0.39268183846497096, 'similarity_metrics': np.float32(0.9530097), 'contradiction': 0.9951503872871399}","{'distance': 0.8719306692344728, 'evidence_accuracy': 0.30020811654526536, 'evidence_precision': 0.24860335195530725, 'evidence_recall': 1.0, 'evidence_f1': 0.39821029082774045, 'similarity_metrics': np.float32(0.94820166), 'contradiction': 0.9944198727607727}","{'distance': 0.5675282125955587, 'evidence_accuracy': 0.4344432882414152, 'evidence_precision': 0.25900900900900903, 'evidence_recall': 0.7752808988764045, 'evidence_f1': 0.3882948790095667, 'similarity_metrics': np.float32(0.9868666), 'contradiction': 0.9809800982475281}","{'distance': 0.004682622268470382, 'evidence_accuracy': 0.768990634755463, 'evidence_precision': 0.5555555555555556, 'evidence_recall': 0.011235955056179775, 'evidence_f1': 0.022026431718061675, 'similarity_metrics': np.float32(0.99906045), 'contradiction': 0.009122309274971485}"
"{'distance': 0.9227696404793608, 'evidence_accuracy': 0.1404320987654321, 'evidence_precision': 0.14506172839506173, 'evidence_recall': 0.9690721649484536, 'evidence_f1': 0.2523489932885906, 'similarity_metrics': np.float32(0.83760417), 'contradiction': 0.47048962116241455}","{'distance': 0.9365517241379311, 'evidence_accuracy': 0.16203703703703703, 'evidence_precision': 0.14937106918238993, 'evidence_recall': 0.979381443298969, 'evidence_f1': 0.25920873124147337, 'similarity_metrics': np.float32(0.77529025), 'contradiction': 0.3307291567325592}","{'distance': 0.9441340782122905, 'evidence_accuracy': 0.16358024691358025, 'evidence_precision': 0.15179968701095461, 'evidence_recall': 1.0, 'evidence_f1': 0.26358695652173914, 'similarity_metrics': np.float32(0.7659807), 'contradiction': 0.1130441278219223}",,,,"{'distance': 0.029320987654321007, 'evidence_accuracy': 0.8271604938271605, 'evidence_precision': 0.10526315789473684, 'evidence_recall': 0.020618556701030927, 'evidence_f1': 0.034482758620689655, 'similarity_metrics': np.float32(0.99599636), 'contradiction': 0.22014321386814117}"
"{'distance': 0.5637818909454728, 'evidence_accuracy': 0.49676898222940225, 'evidence_precision': 0.2941903584672435, 'evidence_recall': 0.8206896551724138, 'evidence_f1': 0.4331210191082802, 'similarity_metrics': np.float32(0.9992092), 'contradiction': 0.22398076951503754}","{'distance': 0.5007444168734492, 'evidence_accuracy': 0.4878836833602585, 'evidence_precision': 0.26819407008086255, 'evidence_recall': 0.6862068965517242, 'evidence_f1': 0.3856589147286822, 'similarity_metrics': np.float32(0.98987067), 'contradiction': 0.02566765993833542}","{'distance': 0.5007444168734492, 'evidence_accuracy': 0.4878836833602585, 'evidence_precision': 0.26819407008086255, 'evidence_recall': 0.6862068965517242, 'evidence_f1': 0.3856589147286822, 'similarity_metrics': np.float32(0.98987067), 'contradiction': 0.02566765993833542}",,,"{'distance': 0.2947419199228172, 'evidence_accuracy': 0.6179321486268174, 'evidence_precision': 0.31952662721893493, 'evidence_recall': 0.5586206896551724, 'evidence_f1': 0.4065244667503136, 'similarity_metrics': np.float32(0.999532), 'contradiction': 0.9899678230285645}","{'distance': 0.003231017770597755, 'evidence_accuracy': 0.7641357027463651, 'evidence_precision': 0.25, 'evidence_recall': 0.0034482758620689655, 'evidence_f1': 0.006802721088435374, 'similarity_metrics': np.float32(0.9998262), 'contradiction': 0.5463005900382996}"
,"{'distance': 0.9742268041237113, 'evidence_accuracy': 0.1323943661971831, 'evidence_precision': 0.14125874125874127, 'evidence_recall': 0.9805825242718447, 'evidence_f1': 0.24694376528117365, 'similarity_metrics': np.float32(0.7777353), 'contradiction': 0.5411257147789001}",,"{'distance': 0.5079365079365079, 'evidence_accuracy': 0.34788732394366195, 'evidence_precision': 0.05, 'evidence_recall': 0.1941747572815534, 'evidence_f1': 0.07952286282306163, 'similarity_metrics': np.float32(0.97500265), 'contradiction': 0.6445128321647644}","{'distance': 0.8994708994708995, 'evidence_accuracy': 0.18169014084507043, 'evidence_precision': 0.14434523809523808, 'evidence_recall': 0.941747572815534, 'evidence_f1': 0.2503225806451613, 'similarity_metrics': np.float32(0.74252015), 'contradiction': 0.9908890128135681}","{'distance': 0.8894736842105263, 'evidence_accuracy': 0.18732394366197183, 'evidence_precision': 0.14520958083832336, 'evidence_recall': 0.941747572815534, 'evidence_f1': 0.25162127107652404, 'similarity_metrics': np.float32(0.75218403), 'contradiction': 0.9921871423721313}","{'distance': 0.0028169014084507005, 'evidence_accuracy': 0.8549295774647887, 'evidence_precision': 0.5, 'evidence_recall': 0.009708737864077669, 'evidence_f1': 0.019047619047619046, 'similarity_metrics': np.float32(1.0000001), 'contradiction': 0.0058901989832520485}"
"{'distance': 0.33958724202626644, 'evidence_accuracy': 0.5380530973451327, 'evidence_precision': 0.2112676056338028, 'evidence_recall': 0.32608695652173914, 'evidence_f1': 0.2564102564102564, 'similarity_metrics': np.float32(0.9975724), 'contradiction': 0.3037364184856415}","{'distance': 0.3389830508474576, 'evidence_accuracy': 0.5292035398230088, 'evidence_precision': 0.20093457943925233, 'evidence_recall': 0.3115942028985507, 'evidence_f1': 0.2443181818181818, 'similarity_metrics': np.float32(0.9962226), 'contradiction': 0.41304484009742737}","{'distance': 0.3389830508474576, 'evidence_accuracy': 0.5292035398230088, 'evidence_precision': 0.20093457943925233, 'evidence_recall': 0.3115942028985507, 'evidence_f1': 0.2443181818181818, 'similarity_metrics': np.float32(0.9962226), 'contradiction': 0.41304484009742737}","{'distance': 0.3866666666666667, 'evidence_accuracy': 0.5451327433628319, 'evidence_precision': 0.2551440329218107, 'evidence_recall': 0.4492753623188406, 'evidence_f1': 0.3254593175853019, 'similarity_metrics': np.float32(0.9800534), 'contradiction': 0.9737322330474854}","{'distance': 0.92, 'evidence_accuracy': 0.1592920353982301, 'evidence_precision': 0.22056384742951907, 'evidence_recall': 0.9637681159420289, 'evidence_f1': 0.358974358974359, 'similarity_metrics': np.float32(0.7126822), 'contradiction': 0.8270099759101868}","{'distance': 0.8724727838258165, 'evidence_accuracy': 0.31327433628318585, 'evidence_precision': 0.26145038167938933, 'evidence_recall': 0.9927536231884058, 'evidence_f1': 0.41389728096676737, 'similarity_metrics': np.float32(0.66992545), 'contradiction': 0.8868755102157593}","{'distance': 0.024778761061946875, 'evidence_accuracy': 0.7557522123893805, 'evidence_precision': 0.5, 'evidence_recall': 0.050724637681159424, 'evidence_f1': 0.09210526315789475, 'similarity_metrics': np.float32(0.99747074), 'contradiction': 0.016356315463781357}"
"{'distance': 0.35685828116107, 'evidence_accuracy': 0.4984552008238929, 'evidence_precision': 0.27586206896551724, 'evidence_recall': 0.36721311475409835, 'evidence_f1': 0.3150492264416315, 'similarity_metrics': np.float32(0.99503416), 'contradiction': 0.07584203034639359}","{'distance': 0.3553530751708428, 'evidence_accuracy': 0.49536560247167866, 'evidence_precision': 0.2716049382716049, 'evidence_recall': 0.36065573770491804, 'evidence_f1': 0.30985915492957744, 'similarity_metrics': np.float32(0.99503416), 'contradiction': 0.07584203034639359}","{'distance': 0.3519362186788155, 'evidence_accuracy': 0.4984552008238929, 'evidence_precision': 0.2736318407960199, 'evidence_recall': 0.36065573770491804, 'evidence_f1': 0.3111739745403112, 'similarity_metrics': np.float32(0.9956031), 'contradiction': 0.06660028547048569}",,,,"{'distance': 0.001029866117404743, 'evidence_accuracy': 0.6848609680741503, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.96970826), 'contradiction': 0.1326299011707306}"
,,,"{'distance': 0.5981735159817352, 'evidence_accuracy': 0.3520408163265306, 'evidence_precision': 0.14615384615384616, 'evidence_recall': 0.5428571428571428, 'evidence_f1': 0.23030303030303031, 'similarity_metrics': np.float32(0.9827651), 'contradiction': 0.19461345672607422}","{'distance': 0.9388235294117647, 'evidence_accuracy': 0.1556122448979592, 'evidence_precision': 0.15567282321899736, 'evidence_recall': 0.8428571428571429, 'evidence_f1': 0.26280623608017817, 'similarity_metrics': np.float32(0.6708755), 'contradiction': 0.36877545714378357}",,"{'distance': 0.005102040816326481, 'evidence_accuracy': 0.826530612244898, 'evidence_precision': 1.0, 'evidence_recall': 0.02857142857142857, 'evidence_f1': 0.05555555555555556, 'similarity_metrics': np.float32(0.9999999), 'contradiction': 0.569544792175293}"
,"{'distance': 0.8779761904761905, 'evidence_accuracy': 0.15, 'evidence_precision': 0.10597302504816955, 'evidence_recall': 0.8208955223880597, 'evidence_f1': 0.18771331058020477, 'similarity_metrics': np.float32(0.87604654), 'contradiction': 0.06106158345937729}","{'distance': 0.8603945371775417, 'evidence_accuracy': 0.12321428571428572, 'evidence_precision': 0.08754863813229571, 'evidence_recall': 0.6716417910447762, 'evidence_f1': 0.15490533562822717, 'similarity_metrics': np.float32(0.88859296), 'contradiction': 0.13556768000125885}","{'distance': 0.4458536585365853, 'evidence_accuracy': 0.46964285714285714, 'evidence_precision': 0.08333333333333333, 'evidence_recall': 0.34328358208955223, 'evidence_f1': 0.13411078717201166, 'similarity_metrics': np.float32(0.9291545), 'contradiction': 0.6768472194671631}",,,"{'distance': 0.005357142857142838, 'evidence_accuracy': 0.8785714285714286, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.014925373134328358, 'evidence_f1': 0.028571428571428574, 'similarity_metrics': np.float32(0.9986626), 'contradiction': 0.004355624783784151}"
