texts,labels,predictions,z,normal_text,word_rationales
"▁One ▁man ▁on ▁the ▁left ▁with ▁black ▁hair , ▁wearing ▁glasses , ▁and ▁another ▁man ▁on ▁the ▁right ▁with ▁slightly ▁gray ing ▁black ▁hair , ▁without ▁glasses ▁but ▁clasp ing ▁his ▁hands ▁together , ▁are ▁laughing . </s> ▁the ▁people ▁are ▁crying ▁in ▁their ▁sleep </s>",0,0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","One man on the left with black hair, wearing glasses, and another man on the right with slightly graying black hair, without glasses but clasping his hands together, are laughing. the people are crying in their sleep","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]"
"▁One ▁man ▁on ▁the ▁left ▁with ▁black ▁hair , ▁wearing ▁glasses , ▁and ▁another ▁man ▁on ▁the ▁right ▁with ▁slightly ▁gray ing ▁black ▁hair , ▁without ▁glasses ▁but ▁clasp ing ▁his ▁hands ▁together , ▁are ▁laughing . </s> ▁the ▁people ▁are ▁laughing </s>",1,0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","One man on the left with black hair, wearing glasses, and another man on the right with slightly graying black hair, without glasses but clasping his hands together, are laughing. the people are laughing","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]"
▁ a ▁climb er ▁wearing ▁ a ▁red ▁head band ▁is ▁pulling ▁himself ▁up ▁some ▁gray ▁rocks ▁high ▁above ▁some ▁green ▁foliage . </s> ▁A ▁woman ▁climb er ▁attempts ▁to ▁pull ▁herself ▁up </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage. A woman climber attempts to pull herself up,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]"
▁ a ▁climb er ▁wearing ▁ a ▁red ▁head band ▁is ▁pulling ▁himself ▁up ▁some ▁gray ▁rocks ▁high ▁above ▁some ▁green ▁foliage . </s> ▁A ▁climb er ▁pull s ▁himself ▁up ▁some ▁rocks </s>,1,0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage. A climber pulls himself up some rocks,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]"
▁ a ▁man ▁with ▁ a ▁red ▁head band ▁climbing ▁ a ▁rock ▁ cliff ▁ loom ing ▁over ▁green ery . </s> ▁A ▁man ▁is ▁swimming ▁in ▁the ▁ocean . </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",a man with a red headband climbing a rock cliff looming over greenery. A man is swimming in the ocean.,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1]"
▁ a ▁man ▁with ▁ a ▁red ▁head band ▁climbing ▁ a ▁rock ▁ cliff ▁ loom ing ▁over ▁green ery . </s> ▁A ▁man ▁is ▁outdoors . </s>,1,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",a man with a red headband climbing a rock cliff looming over greenery. A man is outdoors.,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
▁A ▁man ▁read s ▁the ▁paper ▁in ▁ a ▁bar ▁with ▁green ▁lighting . </s> ▁The ▁man ▁is ▁climbing ▁ a ▁mountain . </s>,0,0,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man reads the paper in a bar with green lighting. The man is climbing a mountain.,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]"
▁A ▁man ▁read s ▁the ▁paper ▁in ▁ a ▁bar ▁with ▁green ▁lighting . </s> ▁The ▁man ▁is ▁inside . </s>,1,1,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man reads the paper in a bar with green lighting. The man is inside.,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]"
▁A ▁refer e e ▁with ▁ a ▁whistle ▁in ▁his ▁mouth ▁points ▁to ▁the ▁right ▁and ▁watches ▁as ▁ a ▁player ▁with ▁the ▁basketball ▁bend s ▁down ▁with ▁ a ▁defensive ▁player . </s> ▁A ▁refer e e ▁is ▁punch ing ▁ a ▁goat </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",A referee with a whistle in his mouth points to the right and watches as a player with the basketball bends down with a defensive player. A referee is punching a goat,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]"
▁A ▁refer e e ▁with ▁ a ▁whistle ▁in ▁his ▁mouth ▁points ▁to ▁the ▁right ▁and ▁watches ▁as ▁ a ▁player ▁with ▁the ▁basketball ▁bend s ▁down ▁with ▁ a ▁defensive ▁player . </s> ▁A ▁man ▁is ▁running </s>,0,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",A referee with a whistle in his mouth points to the right and watches as a player with the basketball bends down with a defensive player. A man is running,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]"
"▁Two ▁black ▁guys , ▁that ▁are ▁on ▁rival ▁teams ▁playing ▁basketball . </s> ▁Two ▁women ▁playing ▁basketball . </s>",0,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","Two black guys, that are on rival teams playing basketball. Two women playing basketball.","[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]"
"▁Two ▁black ▁guys , ▁that ▁are ▁on ▁rival ▁teams ▁playing ▁basketball . </s> ▁Two ▁men ▁playing ▁basketball . </s>",1,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","Two black guys, that are on rival teams playing basketball. Two men playing basketball.","[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]"
▁A ▁young ▁man ▁in ▁ a ▁blue ▁T - shirt ▁and ▁sweat p ants ▁stands ▁over ▁ a ▁stove ▁and ▁looks ▁at ▁the ▁camera ▁while ▁another ▁young ▁man ▁stands ▁behind ▁him . </s> ▁two ▁men ▁are ▁at ▁the ▁pool . </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him. two men are at the pool.,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]"
▁A ▁young ▁man ▁in ▁ a ▁blue ▁T - shirt ▁and ▁sweat p ants ▁stands ▁over ▁ a ▁stove ▁and ▁looks ▁at ▁the ▁camera ▁while ▁another ▁young ▁man ▁stands ▁behind ▁him . </s> ▁A ▁man ▁is ▁in ▁front ▁of ▁ a ▁camera . </s>,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him. A man is in front of a camera.,"[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0]"
▁A ▁man ▁in ▁ a ▁winter ▁jacket ▁and ▁knit ▁cap ▁stand ▁with ▁his ▁arms ▁up ▁at ▁his ▁side ▁in ▁ a ▁snow ▁landscape . </s> ▁A ▁man ▁is ▁standing ▁in ▁ a ▁desert . </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man in a winter jacket and knit cap stand with his arms up at his side in a snow landscape. A man is standing in a desert.,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]"
▁A ▁man ▁in ▁ a ▁winter ▁jacket ▁and ▁knit ▁cap ▁stand ▁with ▁his ▁arms ▁up ▁at ▁his ▁side ▁in ▁ a ▁snow ▁landscape . </s> ▁A ▁man ▁is ▁outside ▁in ▁the ▁snow . </s>,1,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man in a winter jacket and knit cap stand with his arms up at his side in a snow landscape. A man is outside in the snow.,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]"
▁A ▁man ▁and ▁ a ▁child ▁are ▁laughing ▁at ▁each ▁other . </s> ▁A ▁man ▁is ▁talking ▁on ▁the ▁phone ▁while ▁his ▁teenage ▁son ▁is ▁asleep . </s>,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",A man and a child are laughing at each other. A man is talking on the phone while his teenage son is asleep.,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
▁A ▁man ▁and ▁ a ▁child ▁are ▁laughing ▁at ▁each ▁other . </s> ▁Two ▁people ▁are ▁laughing . </s>,1,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man and a child are laughing at each other. Two people are laughing.,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]"
▁An ▁elderly ▁woman ▁is ▁ preparing ▁food ▁in ▁the ▁kitchen . </s> ▁A ▁man ▁clean s ▁the ▁kitchen . </s>,0,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",An elderly woman is preparing food in the kitchen. A man cleans the kitchen.,"[0, 1, 0, 0, 0, 1, 0, 0, 1]"
▁An ▁elderly ▁woman ▁is ▁ preparing ▁food ▁in ▁the ▁kitchen . </s> ▁A ▁woman ▁makes ▁food . </s>,1,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",An elderly woman is preparing food in the kitchen. A woman makes food.,"[0, 1, 0, 0, 1, 1, 0, 0, 1]"
"▁An ▁older ▁man ▁is ▁knee ling ▁and ▁talking ▁to ▁ a ▁group ▁of ▁younger ▁children , ▁all ▁in ▁soccer ▁uniform s . </s> ▁ a ▁cat ▁sleep s ▁sound ly </s>",0,0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]","An older man is kneeling and talking to a group of younger children, all in soccer uniforms. a cat sleeps soundly","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
"▁An ▁older ▁man ▁is ▁knee ling ▁and ▁talking ▁to ▁ a ▁group ▁of ▁younger ▁children , ▁all ▁in ▁soccer ▁uniform s . </s> ▁ a ▁man ▁talks ▁to ▁kids </s>",1,1,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","An older man is kneeling and talking to a group of younger children, all in soccer uniforms. a man talks to kids","[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1]"
▁A ▁man ▁in ▁glasses ▁in ▁ a ▁basement . </s> ▁The ▁man ▁is ▁sitting ▁in ▁his ▁living ▁room . </s>,0,0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",A man in glasses in a basement. The man is sitting in his living room.,"[0, 0, 0, 1, 0, 0, 1]"
▁A ▁man ▁in ▁glasses ▁in ▁ a ▁basement . </s> ▁The ▁basement ▁has ▁ a ▁man ▁in ▁it . </s>,1,1,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",A man in glasses in a basement. The basement has a man in it.,"[0, 1, 0, 1, 0, 0, 1]"
▁White ▁dog ▁playing ▁in ▁the ▁snow . </s> ▁The ▁snow ▁is ▁purple . </s>,0,0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",White dog playing in the snow. The snow is purple.,"[1, 0, 0, 0, 0, 1]"
▁White ▁dog ▁playing ▁in ▁the ▁snow . </s> ▁The ▁dog ▁enjoy s ▁the ▁snow . </s>,1,1,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",White dog playing in the snow. The dog enjoys the snow.,"[1, 0, 1, 0, 0, 1]"
▁A ▁man ▁takes ▁ a ▁drink ▁in ▁the ▁door way ▁of ▁ a ▁home . </s> ▁The ▁man ▁is ▁sitting ▁at ▁the ▁table . </s>,0,0,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",A man takes a drink in the doorway of a home. The man is sitting at the table.,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]"
▁A ▁man ▁takes ▁ a ▁drink ▁in ▁the ▁door way ▁of ▁ a ▁home . </s> ▁A ▁man ▁is ▁standing ▁in ▁the ▁door way . </s>,1,0,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A man takes a drink in the doorway of a home. A man is standing in the doorway.,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]"
▁Three ▁Asian ▁men ▁are ▁running ▁down ▁ a ▁track ▁holding ▁hands ▁while ▁ a ▁large ▁gathering ▁of ▁people ▁watches ▁them . </s> ▁Three ▁men ▁are ▁fighting . </s>,0,0,"[0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",Three Asian men are running down a track holding hands while a large gathering of people watches them. Three men are fighting.,"[0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
▁Three ▁Asian ▁men ▁are ▁running ▁down ▁ a ▁track ▁holding ▁hands ▁while ▁ a ▁large ▁gathering ▁of ▁people ▁watches ▁them . </s> ▁Three ▁men ▁are ▁holding ▁hands . </s>,1,0,"[0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Three Asian men are running down a track holding hands while a large gathering of people watches them. Three men are holding hands.,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
"▁It ' s ▁another ▁day ▁of ▁celebration , ▁with ▁ a ▁parade ▁and ▁signs , ▁with ▁many ▁people ▁in ▁attendance . </s> ▁People ▁have ▁ gathered ▁for ▁ a ▁funeral </s>",0,0,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","It's another day of celebration, with a parade and signs, with many people in attendance. People have gathered for a funeral","[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]"
"▁It ' s ▁another ▁day ▁of ▁celebration , ▁with ▁ a ▁parade ▁and ▁signs , ▁with ▁many ▁people ▁in ▁attendance . </s> ▁Crow d ▁has ▁ gathered ▁to ▁celebrate ▁and ▁watch ▁ a ▁parade </s>",1,0,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","It's another day of celebration, with a parade and signs, with many people in attendance. Crowd has gathered to celebrate and watch a parade","[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]"
▁A ▁group ▁in ▁uniform ▁marche s ▁carrying ▁red ▁signs ▁with ▁Chinese ▁letter ing ▁on ▁them . </s> ▁ a ▁dog ▁ eat s ▁steak </s>,0,0,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",A group in uniform marches carrying red signs with Chinese lettering on them. a dog eats steak,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
▁A ▁group ▁in ▁uniform ▁marche s ▁carrying ▁red ▁signs ▁with ▁Chinese ▁letter ing ▁on ▁them . </s> ▁ a ▁uniform e d ▁group ▁carry ▁signs ▁written ▁in ▁Chinese </s>,1,0,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]",A group in uniform marches carrying red signs with Chinese lettering on them. a uniformed group carry signs written in Chinese,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
▁A ▁kid ▁dressed ▁in ▁ a ▁long - s le e ve ▁shirt ▁with ▁ a ▁jersey ▁ numbered ▁11 ▁is ▁passing ▁ a ▁bar ▁to ▁ a ▁boy ▁in ▁ a ▁jersey ▁ numbered ▁12 ▁during ▁ a ▁relay ▁race . </s> ▁Kids ▁playing ▁ a ▁video ▁game ▁as ▁the ▁light ▁of ▁dawn ▁peek s ▁through ▁the ▁windows . </s>,0,0,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race. Kids playing a video game as the light of dawn peeks through the windows.,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
▁A ▁kid ▁dressed ▁in ▁ a ▁long - s le e ve ▁shirt ▁with ▁ a ▁jersey ▁ numbered ▁11 ▁is ▁passing ▁ a ▁bar ▁to ▁ a ▁boy ▁in ▁ a ▁jersey ▁ numbered ▁12 ▁during ▁ a ▁relay ▁race . </s> ▁Children ▁competing ▁in ▁ a ▁relay ▁race . </s>,1,0,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race. Children competing in a relay race.,"[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
▁A ▁kid ▁dressed ▁in ▁ a ▁long - s le e ve ▁shirt ▁with ▁ a ▁jersey ▁ numbered ▁11 ▁is ▁passing ▁ a ▁bar ▁to ▁ a ▁boy ▁in ▁ a ▁jersey ▁ numbered ▁12 ▁during ▁ a ▁relay ▁race . </s> ▁A ▁team ▁of ▁youth s ▁race ▁to ▁finish ▁first ▁in ▁ a ▁relay ▁race ▁on ▁ a ▁beach . </s>,1,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A kid dressed in a long-sleeve shirt with a jersey numbered 11 is passing a bar to a boy in a jersey numbered 12 during a relay race. A team of youths race to finish first in a relay race on a beach.,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
▁ a ▁dog ▁jump s ▁over ▁the ▁pole . </s> ▁Dog ▁is ▁asleep ▁on ▁the ▁floor . </s>,0,0,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",a dog jumps over the pole. Dog is asleep on the floor.,"[0, 0, 1, 1, 0, 1]"
