baseline,e-implcit-target-e-persona-human,e-persona-you,e-implcit-target-e-persona-you,e-implcit-target,e-persona-human,TextFoolerJin2019
,,,,,,
,,,,,,
"{'distance': 0.03448275862068961, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.97533965), 'contradiction': 0.00047632341738790274}","{'distance': 0.6363636363636364, 'evidence_accuracy': 0.4, 'evidence_precision': 0.2727272727272727, 'evidence_recall': 0.75, 'evidence_f1': 0.39999999999999997, 'similarity_metrics': np.float32(0.27400848), 'contradiction': 0.9976243376731873}",,,,,"{'distance': 0.2571428571428571, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.83748007), 'contradiction': 0.0016513996524736285}"
"{'distance': 0.03448275862068961, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.97533965), 'contradiction': 0.00047632341738790274}",,"{'distance': 0.03448275862068961, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.97533965), 'contradiction': 0.00047632341738790274}",,,,"{'distance': 0.23529411764705888, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.9579048), 'contradiction': 0.0015435521490871906}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.18181818181818177, 'evidence_accuracy': 0.8888888888888888, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.8091105), 'contradiction': 0.0017601542640477419}"
,,,,,,"{'distance': 0.6666666666666667, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.39847243), 'contradiction': 0.861818253993988}"
,"{'distance': 0.16666666666666663, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.72652566), 'contradiction': 0.9991496801376343}",,"{'distance': 0.16666666666666663, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.72652566), 'contradiction': 0.9991496801376343}","{'distance': 0.16666666666666663, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.72652566), 'contradiction': 0.9991496801376343}",,"{'distance': 0.4666666666666667, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.7735139), 'contradiction': 0.005630194675177336}"
,,"{'distance': 0.8571428571428572, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.21383694), 'contradiction': 0.6877950429916382}",,"{'distance': 0.8461538461538461, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.4026274), 'contradiction': 0.7439275979995728}","{'distance': 0.8571428571428572, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.21383694), 'contradiction': 0.6877950429916382}","{'distance': 0.5, 'evidence_accuracy': 0.2857142857142857, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.60570085), 'contradiction': 0.0036998135037720203}"
"{'distance': 0.06666666666666665, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.9884581), 'contradiction': 0.00233522173948586}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.42857142857142855, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8514954), 'contradiction': 0.9990127086639404}","{'distance': 0.06666666666666665, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.9884581), 'contradiction': 0.00233522173948586}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.42857142857142855, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8514954), 'contradiction': 0.9990127086639404}",,"{'distance': 0.06666666666666665, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.9884581), 'contradiction': 0.00233522173948586}","{'distance': 0.368421052631579, 'evidence_accuracy': 0.42857142857142855, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.80762625), 'contradiction': 0.0008121014107018709}"
,,,,,,"{'distance': 0.6666666666666667, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.80144775), 'contradiction': 0.008609653450548649}"
"{'distance': 1.0, 'evidence_accuracy': 0.14285714285714285, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 1.0, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.0712378), 'contradiction': 0.213868647813797}",,,,,"{'distance': 1.0, 'evidence_accuracy': 0.14285714285714285, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 1.0, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.0712378), 'contradiction': 0.213868647813797}",
,,,,,,"{'distance': 0.21212121212121215, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.6508056), 'contradiction': 0.7985354065895081}"
,,,,,,
,,,,,,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.83705306), 'contradiction': 0.10136602818965912}"
,,,,,,"{'distance': 0.4117647058823529, 'evidence_accuracy': 0.7727272727272727, 'evidence_precision': 0.2857142857142857, 'evidence_recall': 1.0, 'evidence_f1': 0.4444444444444445, 'similarity_metrics': np.float32(0.5567911), 'contradiction': 0.9702019691467285}"
,,,,,,"{'distance': 0.4385964912280702, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.7142857142857143, 'evidence_recall': 0.5555555555555556, 'evidence_f1': 0.6250000000000001, 'similarity_metrics': np.float32(0.8345288), 'contradiction': 0.0016873807180672884}"
,,,,,,"{'distance': 0.45833333333333337, 'evidence_accuracy': 0.7647058823529411, 'evidence_precision': 0.25, 'evidence_recall': 0.5, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': np.float32(0.67095524), 'contradiction': 0.9691212773323059}"
,,,,,,
,,"{'distance': 0.16666666666666663, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.67385584), 'contradiction': 0.9894298911094666}","{'distance': 0.7777777777777778, 'evidence_accuracy': 0.3333333333333333, 'evidence_precision': 0.2, 'evidence_recall': 1.0, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.6053462), 'contradiction': 0.0008794688037596643}",,"{'distance': 0.16666666666666663, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.67385584), 'contradiction': 0.9894298911094666}","{'distance': 0.5294117647058824, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.6023383), 'contradiction': 0.019192341715097427}"
,,,,,,"{'distance': 0.4117647058823529, 'evidence_accuracy': -0.16666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7560211), 'contradiction': 0.013121495954692364}"
,,,,,,"{'distance': 0.33333333333333337, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.6026617), 'contradiction': 0.003508655121549964}"
,,,,,,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.5384615384615384, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8218594), 'contradiction': 0.0015277185011655092}"
,,,,,,"{'distance': 0.25, 'evidence_accuracy': 0.8823529411764706, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.8845031), 'contradiction': 0.20086686313152313}"
,,,,,,"{'distance': 0.25, 'evidence_accuracy': 0.5882352941176471, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.91633403), 'contradiction': 0.0016045874217525125}"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.5714285714285714, 'evidence_accuracy': 0.3157894736842105, 'evidence_precision': 0.1, 'evidence_recall': 0.2, 'evidence_f1': 0.13333333333333333, 'similarity_metrics': np.float32(0.6606462), 'contradiction': 0.8383938074111938}"
,,,,,,"{'distance': 0.19047619047619047, 'evidence_accuracy': 0.7368421052631579, 'evidence_precision': 0.5, 'evidence_recall': 0.2, 'evidence_f1': 0.28571428571428575, 'similarity_metrics': np.float32(0.82165504), 'contradiction': 0.001610811217688024}"
,,,,,,"{'distance': 0.4117647058823529, 'evidence_accuracy': 0.16666666666666666, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.2857142857142857, 'similarity_metrics': np.float32(0.8561915), 'contradiction': 0.05289127677679062}"
,,,,,,
,,,,,,"{'distance': 0.4666666666666667, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.6017825), 'contradiction': 0.03734327107667923}"
,,,,,,"{'distance': 0.4285714285714286, 'evidence_accuracy': 0.5, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.8964836), 'contradiction': 0.0029241875745356083}"
,,,,,,"{'distance': 0.15555555555555556, 'evidence_accuracy': 0.5, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.16666666666666666, 'evidence_f1': 0.16666666666666666, 'similarity_metrics': np.float32(0.5760007), 'contradiction': 0.09780365228652954}"
"{'distance': 0.07317073170731703, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.9754139), 'contradiction': 0.0015346218133345246}",,"{'distance': 0.07317073170731703, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.9754139), 'contradiction': 0.0015346218133345246}",,"{'distance': 0.4117647058823529, 'evidence_accuracy': 0.45, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8519883), 'contradiction': 0.6123101711273193}","{'distance': 0.07317073170731703, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': np.float32(0.9754139), 'contradiction': 0.0015346218133345246}","{'distance': 0.18181818181818177, 'evidence_accuracy': 0.9, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.86283886), 'contradiction': 0.008805911988019943}"
,,,,,,"{'distance': 0.4444444444444444, 'evidence_accuracy': 0.42857142857142855, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.53093404), 'contradiction': 0.15394839644432068}"
,,,,,,"{'distance': 0.4117647058823529, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.8332168), 'contradiction': 0.2074994295835495}"
,,,,,,"{'distance': 0.1333333333333333, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.663377), 'contradiction': 0.0012962707551196218}"
,,,,,,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.6428571428571429, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8319902), 'contradiction': 0.0032957689836621284}"
,,,,,,
,"{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7349324), 'contradiction': 0.9985053539276123}",,"{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7349324), 'contradiction': 0.9985053539276123}",,,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.9166666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.75, 'evidence_f1': 0.8571428571428571, 'similarity_metrics': np.float32(0.8398733), 'contradiction': 0.8939673900604248}"
,,,,,,"{'distance': 0.368421052631579, 'evidence_accuracy': 0.875, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.766293), 'contradiction': 0.0048332251608371735}"
,,,,,,"{'distance': 0.4736842105263158, 'evidence_accuracy': 0.5, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': np.float32(0.63896984), 'contradiction': 0.8669780492782593}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.13043478260869568, 'evidence_accuracy': 0.65, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7751479), 'contradiction': 0.0021717501804232597}"
"{'distance': 0.375, 'evidence_accuracy': 0.6, 'evidence_precision': 0.2, 'evidence_recall': 1.0, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.8714288), 'contradiction': 0.0014322123024612665}","{'distance': 0.5862068965517242, 'evidence_accuracy': 0.4, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 1.0, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.7001604), 'contradiction': 0.0010973738972097635}","{'distance': 0.375, 'evidence_accuracy': 0.6, 'evidence_precision': 0.2, 'evidence_recall': 1.0, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.8714288), 'contradiction': 0.0014322123024612665}","{'distance': 0.5862068965517242, 'evidence_accuracy': 0.4, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 1.0, 'evidence_f1': 0.25, 'similarity_metrics': np.float32(0.7001604), 'contradiction': 0.0010973738972097635}",,,"{'distance': 0.19148936170212771, 'evidence_accuracy': 0.85, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.93631476), 'contradiction': 0.002153404988348484}"
,,,,,,"{'distance': 0.24137931034482762, 'evidence_accuracy': 0.8461538461538461, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.8989982), 'contradiction': 0.001731864525936544}"
,,,,,,"{'distance': 0.2142857142857143, 'evidence_accuracy': 0.7692307692307693, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.91858864), 'contradiction': 0.006423118524253368}"
,,,,,,
,,,,,,"{'distance': 0.38983050847457623, 'evidence_accuracy': 0.48148148148148145, 'evidence_precision': 0.07142857142857142, 'evidence_recall': 0.5, 'evidence_f1': 0.125, 'similarity_metrics': np.float32(0.7845296), 'contradiction': 0.19240029156208038}"
,,,,"{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.8776227), 'contradiction': 0.7047985196113586}",,"{'distance': 0.4, 'evidence_accuracy': 0.375, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.70996475), 'contradiction': 0.08518065512180328}"
,,,"{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.8776227), 'contradiction': 0.7047985196113586}","{'distance': 0.125, 'evidence_accuracy': 0.75, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.8776227), 'contradiction': 0.7047985196113586}",,"{'distance': 0.5238095238095238, 'evidence_accuracy': 0.75, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.8006271), 'contradiction': 0.012886649928987026}"
,,,,,,
,,,,,,"{'distance': 0.41666666666666663, 'evidence_accuracy': -0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7408757), 'contradiction': 0.12446187436580658}"
,,,,,,"{'distance': 0.41666666666666663, 'evidence_accuracy': -0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.761812), 'contradiction': 0.005175538826733828}"
,,,,,,"{'distance': 0.2941176470588235, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.5041256), 'contradiction': 0.004554991144686937}"
,,,"{'distance': 0.12, 'evidence_accuracy': 0.9166666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.95759094), 'contradiction': 0.498923122882843}","{'distance': 0.12, 'evidence_accuracy': 0.9166666666666666, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': np.float32(0.95759094), 'contradiction': 0.498923122882843}",,"{'distance': 0.31034482758620685, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8499692), 'contradiction': 0.0017358902841806412}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.36363636363636365, 'evidence_accuracy': 0.8125, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.794191), 'contradiction': 0.03375161439180374}"
,,,,,,
,,,,,,
,,,,,,
,"{'distance': 0.375, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8389367), 'contradiction': 0.9990585446357727}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.79810774), 'contradiction': 0.19116780161857605}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.79810774), 'contradiction': 0.19116780161857605}",,"{'distance': 0.3846153846153846, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.7788763), 'contradiction': 0.0023169449996203184}"
,,,,,,
,,,,,,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.9064619), 'contradiction': 0.0015068103093653917}"
,,,,,,"{'distance': 0.6, 'evidence_accuracy': 0.5, 'evidence_precision': 0.2857142857142857, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.34441265), 'contradiction': 0.9595456123352051}"
,,,,,,"{'distance': 0.5625, 'evidence_accuracy': 0.75, 'evidence_precision': 0.8, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.7272727272727272, 'similarity_metrics': np.float32(0.6779409), 'contradiction': 0.03848523646593094}"
,,,,,,"{'distance': 0.5416666666666667, 'evidence_accuracy': 0.45, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7250835), 'contradiction': 0.005528444889932871}"
,,,,,,"{'distance': 0.6, 'evidence_accuracy': 0.6, 'evidence_precision': 0.36363636363636365, 'evidence_recall': 0.8, 'evidence_f1': 0.5000000000000001, 'similarity_metrics': np.float32(0.7397518), 'contradiction': 0.0024205700028687716}"
,,,,,,"{'distance': 0.18918918918918914, 'evidence_accuracy': 0.7647058823529411, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.7713845), 'contradiction': 0.7529584765434265}"
,,,,,,"{'distance': 0.2432432432432432, 'evidence_accuracy': 0.7058823529411765, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.88841146), 'contradiction': 0.0008169177453964949}"
,,,,,,
,,,,,,"{'distance': 0.36585365853658536, 'evidence_accuracy': 0.875, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.8447565), 'contradiction': 0.003952236380428076}"
,"{'distance': 0.6666666666666667, 'evidence_accuracy': 0.6, 'evidence_precision': 0.75, 'evidence_recall': 0.75, 'evidence_f1': 0.75, 'similarity_metrics': np.float32(0.1986719), 'contradiction': 0.012289931997656822}",,"{'distance': 0.6666666666666667, 'evidence_accuracy': 0.6, 'evidence_precision': 0.75, 'evidence_recall': 0.75, 'evidence_f1': 0.75, 'similarity_metrics': np.float32(0.1986719), 'contradiction': 0.012289931997656822}","{'distance': 0.6666666666666667, 'evidence_accuracy': 0.6, 'evidence_precision': 0.75, 'evidence_recall': 0.75, 'evidence_f1': 0.75, 'similarity_metrics': np.float32(0.1986719), 'contradiction': 0.012289931997656822}",,"{'distance': 0.4666666666666667, 'evidence_accuracy': 0.4, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.5, 'evidence_f1': 0.5714285714285715, 'similarity_metrics': np.float32(0.6751034), 'contradiction': 0.06779082119464874}"
,,,,,,
,,,,"{'distance': 0.17647058823529416, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.5765871), 'contradiction': 0.9762731790542603}",,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.93169683), 'contradiction': 0.0010594415944069624}"
,,,,,,
,,,,,,
"{'distance': 0.7647058823529411, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.24676655), 'contradiction': 0.013964303769171238}","{'distance': 0.7647058823529411, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.24676655), 'contradiction': 0.013964303769171238}","{'distance': 0.7647058823529411, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.24676655), 'contradiction': 0.013964303769171238}","{'distance': 0.18181818181818177, 'evidence_accuracy': 0.7272727272727273, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.6745472), 'contradiction': 0.26705440878868103}","{'distance': 0.7647058823529411, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.24676655), 'contradiction': 0.013964303769171238}","{'distance': 0.7647058823529411, 'evidence_accuracy': 0.45454545454545453, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.24676655), 'contradiction': 0.013964303769171238}","{'distance': 0.2592592592592593, 'evidence_accuracy': 0.36363636363636365, 'evidence_precision': 0.16666666666666666, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.2222222222222222, 'similarity_metrics': np.float32(0.7307395), 'contradiction': 0.001580649521201849}"
,"{'distance': 0.052631578947368474, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': np.float32(0.9054531), 'contradiction': 0.0006538608577102423}",,,,,"{'distance': 0.36, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.63686466), 'contradiction': 0.006198993418365717}"
,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.6, 'evidence_precision': 1.0, 'evidence_recall': 0.2, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': np.float32(0.7506893), 'contradiction': 0.9899755120277405}",,,"{'distance': 0.30434782608695654, 'evidence_accuracy': 0.5, 'evidence_precision': 0.5, 'evidence_recall': 0.2, 'evidence_f1': 0.28571428571428575, 'similarity_metrics': np.float32(0.81960833), 'contradiction': 0.005689900368452072}"
,,,,,,
,,,,,,"{'distance': 0.11864406779661019, 'evidence_accuracy': 0.8888888888888888, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': np.float32(0.87166965), 'contradiction': 0.013251764699816704}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.26315789473684215, 'evidence_accuracy': 0.19047619047619047, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': np.float32(0.8799416), 'contradiction': 0.0023950221948325634}"
,,,,,,
,,,,,,
