e-implcit-target-e-persona-you,e-persona-you,e-implcit-target-e-persona-human,baseline,e-implcit-target,e-persona-human,TextFoolerJin2019
,,,,,,"{'distance': 0.16666666666666663, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.8076911, 'contradiction': 0.027258291840553284}"
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.8, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.87754375, 'contradiction': 0.011452101171016693}"
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.7, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.96165824, 'contradiction': 0.0029030635487288237}"
"{'distance': 0.11111111111111116, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7641952, 'contradiction': 0.9990135431289673}","{'distance': 0.11111111111111116, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7641952, 'contradiction': 0.9990135431289673}","{'distance': 0.11111111111111116, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7641952, 'contradiction': 0.9990135431289673}","{'distance': 0.11111111111111116, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7641952, 'contradiction': 0.9990135431289673}","{'distance': 0.11111111111111116, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7641952, 'contradiction': 0.9990135431289673}","{'distance': 0.11111111111111116, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.7641952, 'contradiction': 0.9990135431289673}","{'distance': 0.4444444444444444, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': 0.39626786, 'contradiction': 0.06605938822031021}"
"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.8888888888888888, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.7641952, 'contradiction': 0.9990135431289673}",,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.8888888888888888, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.7641952, 'contradiction': 0.9990135431289673}",,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.8888888888888888, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.7641952, 'contradiction': 0.9990135431289673}",,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.5555555555555556, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7278893, 'contradiction': 0.7935846447944641}"
,,,,,,"{'distance': 0.1428571428571429, 'evidence_accuracy': 0.8571428571428571, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.84940255, 'contradiction': 0.002663157880306244}"
"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.52974933, 'contradiction': 0.9988946318626404}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.52974933, 'contradiction': 0.9988946318626404}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.52974933, 'contradiction': 0.9988946318626404}",,"{'distance': 0.1428571428571429, 'evidence_accuracy': 0.7142857142857143, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.904466, 'contradiction': 0.006696776021271944}"
"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.71921283, 'contradiction': 0.9981757402420044}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.71921283, 'contradiction': 0.9981757402420044}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.71921283, 'contradiction': 0.9981757402420044}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.7993606, 'contradiction': 0.003943873103708029}"
,,,,,,"{'distance': 0.16666666666666663, 'evidence_accuracy': 0.5, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.76662976, 'contradiction': 0.007792912423610687}"
"{'distance': 0.17647058823529416, 'evidence_accuracy': 0.875, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.8125076, 'contradiction': 0.998689591884613}",,"{'distance': 0.17647058823529416, 'evidence_accuracy': 0.875, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.8125076, 'contradiction': 0.998689591884613}",,"{'distance': 0.17647058823529416, 'evidence_accuracy': 0.875, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.8125076, 'contradiction': 0.998689591884613}",,"{'distance': 0.125, 'evidence_accuracy': 0.625, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.88104284, 'contradiction': 0.01319058146327734}"
,,,,,,"{'distance': 0.125, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.88948345, 'contradiction': 0.009580187499523163}"
,"{'distance': 0.1351351351351351, 'evidence_accuracy': 0.6111111111111112, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9430545, 'contradiction': 0.005073350388556719}","{'distance': 0.7391304347826086, 'evidence_accuracy': 0.4444444444444444, 'evidence_precision': 0.25, 'evidence_recall': 0.75, 'evidence_f1': 0.375, 'similarity_metrics': 0.17373747, 'contradiction': 0.9978415966033936}","{'distance': 0.1351351351351351, 'evidence_accuracy': 0.6111111111111112, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9430545, 'contradiction': 0.005073350388556719}",,,"{'distance': 0.05555555555555558, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.96044445, 'contradiction': 0.007826201617717743}"
,"{'distance': 0.92, 'evidence_accuracy': 0.2222222222222222, 'evidence_precision': 0.2222222222222222, 'evidence_recall': 1.0, 'evidence_f1': 0.3636363636363636, 'similarity_metrics': 0.37851465, 'contradiction': 0.0008093928336165845}",,"{'distance': 0.9047619047619048, 'evidence_accuracy': 0.2222222222222222, 'evidence_precision': 0.2222222222222222, 'evidence_recall': 1.0, 'evidence_f1': 0.3636363636363636, 'similarity_metrics': 0.57917935, 'contradiction': 0.0007370587554760277}",,"{'distance': 0.92, 'evidence_accuracy': 0.2222222222222222, 'evidence_precision': 0.2222222222222222, 'evidence_recall': 1.0, 'evidence_f1': 0.3636363636363636, 'similarity_metrics': 0.37851465, 'contradiction': 0.0008093928336165845}","{'distance': 0.05555555555555558, 'evidence_accuracy': 0.7777777777777778, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': 0.91837233, 'contradiction': 0.961438000202179}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.6666666666666666, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7393988, 'contradiction': 0.014468161389231682}"
"{'distance': 0.0714285714285714, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9805123, 'contradiction': 0.0012416994431987405}","{'distance': 0.6, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.4444444444444444, 'evidence_recall': 0.8, 'evidence_f1': 0.5714285714285714, 'similarity_metrics': 0.75518936, 'contradiction': 0.002248282078653574}","{'distance': 0.0714285714285714, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9805123, 'contradiction': 0.0012416994431987405}","{'distance': 0.6, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.4444444444444444, 'evidence_recall': 0.8, 'evidence_f1': 0.5714285714285714, 'similarity_metrics': 0.75518936, 'contradiction': 0.002248282078653574}","{'distance': 0.0714285714285714, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9805123, 'contradiction': 0.0012416994431987405}","{'distance': 0.6, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.4444444444444444, 'evidence_recall': 0.8, 'evidence_f1': 0.5714285714285714, 'similarity_metrics': 0.75518936, 'contradiction': 0.002248282078653574}",
,,,,,,"{'distance': 0.0714285714285714, 'evidence_accuracy': 0.7857142857142857, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.98504937, 'contradiction': 0.0008608258212916553}"
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.73993695, 'contradiction': 0.9694278240203857}"
,,,,,,"{'distance': 0.125, 'evidence_accuracy': 0.625, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.95248115, 'contradiction': 0.0019423936028033495}"
,"{'distance': 0.2222222222222222, 'evidence_accuracy': 0.875, 'evidence_precision': 1.0, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.8, 'similarity_metrics': 0.98604894, 'contradiction': 0.003372160019353032}",,,,"{'distance': 0.2222222222222222, 'evidence_accuracy': 0.875, 'evidence_precision': 1.0, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.8, 'similarity_metrics': 0.98604894, 'contradiction': 0.003372160019353032}","{'distance': 0.125, 'evidence_accuracy': 0.625, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.95248115, 'contradiction': 0.0019423936028033495}"
"{'distance': 0.3939393939393939, 'evidence_accuracy': 0.47058823529411764, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 0.25, 'evidence_f1': 0.18181818181818182, 'similarity_metrics': 0.28334358, 'contradiction': 0.9958367347717285}","{'distance': 0.02857142857142858, 'evidence_accuracy': 0.7058823529411765, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.989934, 'contradiction': 0.001210758346132934}","{'distance': 0.3939393939393939, 'evidence_accuracy': 0.47058823529411764, 'evidence_precision': 0.14285714285714285, 'evidence_recall': 0.25, 'evidence_f1': 0.18181818181818182, 'similarity_metrics': 0.28334358, 'contradiction': 0.9958367347717285}",,"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.4117647058823529, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.4114749, 'contradiction': 0.9989678859710693}",,
,,,,,,"{'distance': 0.05882352941176472, 'evidence_accuracy': 0.9411764705882353, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.92174774, 'contradiction': 0.002080983715131879}"
,,,,,,
,"{'distance': 0.18181818181818177, 'evidence_accuracy': 0.5833333333333334, 'evidence_precision': 0.25, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.28571428571428575, 'similarity_metrics': 0.8124467, 'contradiction': 0.0013327725464478135}",,,,,"{'distance': 0.08333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.8673712, 'contradiction': 0.5982121229171753}"
,,,,,,"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.9230769230769231, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.96882397, 'contradiction': 0.004725548904389143}"
,,,,,,"{'distance': 0.07692307692307687, 'evidence_accuracy': 0.6923076923076923, 'evidence_precision': 0.5, 'evidence_recall': 0.25, 'evidence_f1': 0.3333333333333333, 'similarity_metrics': 0.9512124, 'contradiction': 0.015398929826915264}"
"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.6632521, 'contradiction': 0.9988609552383423}","{'distance': 0.1428571428571429, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.8355815, 'contradiction': 0.9417581558227539}","{'distance': 0.19999999999999996, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.6632521, 'contradiction': 0.9988609552383423}","{'distance': 0.30000000000000004, 'evidence_accuracy': 0.8, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.80825675, 'contradiction': 0.015374807640910149}","{'distance': 0.19999999999999996, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.6632521, 'contradiction': 0.9988609552383423}",,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.8, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.8348881, 'contradiction': 0.010716649703681469}"
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.8, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.88324684, 'contradiction': 0.40094253420829773}"
,,,,,,
"{'distance': 0.368421052631579, 'evidence_accuracy': 0.7, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': 0.5752393, 'contradiction': 0.9991434812545776}",,"{'distance': 0.368421052631579, 'evidence_accuracy': 0.7, 'evidence_precision': 0.25, 'evidence_recall': 1.0, 'evidence_f1': 0.4, 'similarity_metrics': 0.5752393, 'contradiction': 0.9991434812545776}",,,"{'distance': 0.8888888888888888, 'evidence_accuracy': 0.0, 'evidence_precision': 0.09090909090909091, 'evidence_recall': 1.0, 'evidence_f1': 0.16666666666666669, 'similarity_metrics': 0.40683848, 'contradiction': 0.9989126920700073}",
,,,,,,"{'distance': 0.5294117647058824, 'evidence_accuracy': 0.5294117647058824, 'evidence_precision': 0.1111111111111111, 'evidence_recall': 1.0, 'evidence_f1': 0.19999999999999998, 'similarity_metrics': 0.29216623, 'contradiction': 0.42897048592567444}"
,,,,,,
,,,,,,
,,,,,,"{'distance': 0.16666666666666663, 'evidence_accuracy': 0.8333333333333334, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.9109764, 'contradiction': 0.01165829785168171}"
,,,,"{'distance': 0.4444444444444444, 'evidence_accuracy': -0.5555555555555556, 'evidence_precision': 0.06666666666666667, 'evidence_recall': 1.0, 'evidence_f1': 0.125, 'similarity_metrics': 0.6090808, 'contradiction': 0.7970896363258362}",,"{'distance': 0.11111111111111116, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.99405396, 'contradiction': 0.004465297795832157}"
,,,,,,"{'distance': 0.11111111111111116, 'evidence_accuracy': 0.5555555555555556, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.99405396, 'contradiction': 0.004465297795832157}"
,,,,,,
,,,,,,"{'distance': 0.09090909090909094, 'evidence_accuracy': 0.6363636363636364, 'evidence_precision': 1.0, 'evidence_recall': 0.2, 'evidence_f1': 0.33333333333333337, 'similarity_metrics': 0.94320846, 'contradiction': 0.004210319370031357}"
,,,,,,"{'distance': 0.3571428571428571, 'evidence_accuracy': 0.5714285714285714, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.7119278, 'contradiction': 0.004729693755507469}"
,"{'distance': 0.8, 'evidence_accuracy': 0.5, 'evidence_precision': 0.46153846153846156, 'evidence_recall': 1.0, 'evidence_f1': 0.631578947368421, 'similarity_metrics': 0.25536418, 'contradiction': 0.9380322098731995}",,,,"{'distance': 0.8, 'evidence_accuracy': 0.5, 'evidence_precision': 0.46153846153846156, 'evidence_recall': 1.0, 'evidence_f1': 0.631578947368421, 'similarity_metrics': 0.25536418, 'contradiction': 0.9380322098731995}",
,,,,,,
"{'distance': 0.1578947368421053, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.72580385, 'contradiction': 0.9983404874801636}","{'distance': 0.1578947368421053, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.72580385, 'contradiction': 0.9983404874801636}","{'distance': 0.1578947368421053, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.72580385, 'contradiction': 0.9983404874801636}","{'distance': 0.1578947368421053, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.72580385, 'contradiction': 0.9983404874801636}","{'distance': 0.1578947368421053, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.72580385, 'contradiction': 0.9983404874801636}","{'distance': 0.1578947368421053, 'evidence_accuracy': 0.7, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.72580385, 'contradiction': 0.9983404874801636}",
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.5, 'similarity_metrics': 0.9390292, 'contradiction': 0.003062755800783634}"
,,,,,,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.8, 'evidence_precision': 1.0, 'evidence_recall': 0.5, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.8278338, 'contradiction': 0.773505449295044}"
"{'distance': 0.6363636363636364, 'evidence_accuracy': 0.8, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.8, 'similarity_metrics': 0.75430286, 'contradiction': 0.0012913773534819484}",,"{'distance': 0.6363636363636364, 'evidence_accuracy': 0.8, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 1.0, 'evidence_f1': 0.8, 'similarity_metrics': 0.75430286, 'contradiction': 0.0012913773534819484}",,,,"{'distance': 0.19999999999999996, 'evidence_accuracy': 1.0, 'evidence_precision': 1.0, 'evidence_recall': 1.0, 'evidence_f1': 1.0, 'similarity_metrics': 0.79618955, 'contradiction': 0.10876359045505524}"
"{'distance': 0.375, 'evidence_accuracy': 0.75, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.62684417, 'contradiction': 0.996458113193512}","{'distance': 0.375, 'evidence_accuracy': 0.75, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.62684417, 'contradiction': 0.996458113193512}","{'distance': 0.375, 'evidence_accuracy': 0.75, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.62684417, 'contradiction': 0.996458113193512}","{'distance': 0.375, 'evidence_accuracy': 0.75, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.62684417, 'contradiction': 0.996458113193512}","{'distance': 0.375, 'evidence_accuracy': 0.75, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.62684417, 'contradiction': 0.996458113193512}","{'distance': 0.375, 'evidence_accuracy': 0.75, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.62684417, 'contradiction': 0.996458113193512}",
"{'distance': 0.33333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.80019355, 'contradiction': 0.012837259098887444}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.80019355, 'contradiction': 0.012837259098887444}",,"{'distance': 0.375, 'evidence_accuracy': 0.75, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.8123979, 'contradiction': 0.9897695779800415}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.803404, 'contradiction': 0.01721799559891224}","{'distance': 0.33333333333333337, 'evidence_accuracy': 0.75, 'evidence_precision': 0.6666666666666666, 'evidence_recall': 0.6666666666666666, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.80019355, 'contradiction': 0.012837259098887444}","{'distance': 0.125, 'evidence_accuracy': 0.625, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.7790581, 'contradiction': 0.0028244005516171455}"
,,,,,,
,,,,,,"{'distance': 0.0714285714285714, 'evidence_accuracy': 0.7857142857142857, 'evidence_precision': 1.0, 'evidence_recall': 0.25, 'evidence_f1': 0.4, 'similarity_metrics': 0.8585243, 'contradiction': 0.010459364391863346}"
,,,,,,"{'distance': 0.0625, 'evidence_accuracy': 0.75, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.89847183, 'contradiction': 0.004818362183868885}"
,,,,,,"{'distance': 0.0625, 'evidence_accuracy': 0.6875, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.93975717, 'contradiction': 0.0016704482259228826}"
"{'distance': 0.17647058823529416, 'evidence_accuracy': 0.8823529411764706, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.9018426, 'contradiction': 0.9984752535820007}","{'distance': 0.02857142857142858, 'evidence_accuracy': 0.8823529411764706, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9823359, 'contradiction': 0.0022032354027032852}","{'distance': 0.17647058823529416, 'evidence_accuracy': 0.8823529411764706, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.9018426, 'contradiction': 0.9984752535820007}",,"{'distance': 0.17647058823529416, 'evidence_accuracy': 0.8823529411764706, 'evidence_precision': 0.3333333333333333, 'evidence_recall': 1.0, 'evidence_f1': 0.5, 'similarity_metrics': 0.7789194, 'contradiction': 0.9956493973731995}",,
"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.74649537, 'contradiction': 0.9992995262145996}","{'distance': 0.19999999999999996, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.74649537, 'contradiction': 0.9992995262145996}","{'distance': 0.19999999999999996, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.74649537, 'contradiction': 0.9992995262145996}","{'distance': 0.19999999999999996, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.74649537, 'contradiction': 0.9992995262145996}","{'distance': 0.19999999999999996, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.74649537, 'contradiction': 0.9992995262145996}","{'distance': 0.19999999999999996, 'evidence_accuracy': 0.9, 'evidence_precision': 0.5, 'evidence_recall': 1.0, 'evidence_f1': 0.6666666666666666, 'similarity_metrics': 0.74649537, 'contradiction': 0.9992995262145996}",
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.6, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.9764943, 'contradiction': 0.0039669000543653965}"
"{'distance': 0.30000000000000004, 'evidence_accuracy': 0.4, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.4155683, 'contradiction': 0.9989645481109619}",,"{'distance': 0.30000000000000004, 'evidence_accuracy': 0.4, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.4155683, 'contradiction': 0.9989645481109619}",,"{'distance': 0.19999999999999996, 'evidence_accuracy': 0.5, 'evidence_precision': 0.0, 'evidence_recall': 0.0, 'evidence_f1': 0, 'similarity_metrics': 0.55825734, 'contradiction': 0.9986787438392639}",,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.7, 'evidence_precision': 0.5, 'evidence_recall': 0.3333333333333333, 'evidence_f1': 0.4, 'similarity_metrics': 0.9706166, 'contradiction': 0.0029407294932752848}"
,,,,,,"{'distance': 0.09999999999999998, 'evidence_accuracy': 0.8, 'evidence_precision': 0.5, 'evidence_recall': 0.5, 'evidence_f1': 0.5, 'similarity_metrics': 0.78413886, 'contradiction': 0.9698959589004517}"
